,Dmax,X,Ku,Ka,W,ldr,xpolKa,mkg,CextC,CscaC,CabsC,CextX,CscaX,CabsX,CextKu,CscaKu,CabsKu,CextKa,CscaKa,CabsKa,CextW,CscaW,CabsW
10,0.378413717998,,1.255301884558142e-10,4.905204229498764e-09,1.6197266323745577e-07,0.00177926151476,8.71208338352e-12,4.80140077224e-13,,,,,,,9.779777930625027e-05,1.0541614149120552e-09,9.77899253246163e-05,0.0003050800625901048,4.1207485438973924e-08,0.000305040792681935,0.0007721092264727636,1.367849441372996e-06,0.000770750487650086
1,0.556827435996,,8.033994893025178e-09,3.1422209721205115e-07,1.0373853101418857e-05,0.00180396873121,5.65836343466e-10,3.84112061779e-12,,,,,,,0.0007842357741156201,6.750654294033748e-08,0.0007841415263360125,0.0024689776664562186,2.648990925506914e-06,0.0024663387286272035,0.006556818027307258,8.932176232686501e-05,0.006467596795945308
6,1.09206858999,,1.961963882074996e-06,7.718107751706725e-05,0.0024531911633719297,0.00206397145423,1.58973067926e-07,6.0017509653e-11,,,,,,,0.01246564329990345,1.6573079344931255e-05,0.012448560889849554,0.04208948757646925,0.0006661550872396306,0.041423862632989916,0.15842070004349082,0.02416473799233099,0.1342559620511598
8,1.53810288498,,2.235704594450134e-05,0.0008859144020967578,0.022425081060405642,0.00243902439024,2.15556702273e-06,2.02559095079e-10,,,,,,,0.0432137850473727,0.0001903392814039631,0.0430220497207333,0.16288225248544044,0.007908419544174969,0.15497427472773237,0.8649737235651734,0.2740843240716245,0.5908893994935489
9,1.98413717998,,0.00012568726808849366,0.005019793821538451,0.061351377533791676,0.00296096904441,1.48195232812e-05,4.80140077224e-10,,,,,,,0.10651569891996193,0.0010817288904473054,0.10543184945447345,0.4677124602848144,0.046891411947481254,0.42082418992998677,2.523248679546982,1.064607210485241,1.4586414690617409
11,2.87620576997,,0.0014342332576387567,0.05716186738068883,0.028431609864528477,0.00492641950357,0.000280223712954,1.62047276063e-09,,,,,,,0.4044820176450944,0.012721329671997489,0.3917585673980557,2.550698345357723,0.5955104859374387,1.955170187961608,5.793234297898174,2.575261672917978,3.2177959103934306
0,3.76827435996,,0.008093370994178025,0.2781786046974154,0.07472592285828683,0.00767829255596,0.00211964090568,3.84112061779e-09,,,,,,,1.1390786643385873,0.074732206043594,1.064340175109686,8.87971163537155,3.2116501697648454,5.668375624872064,10.465587606903679,4.666521727642279,5.799380038526758
2,4.66034294995,,0.0312495203000281,0.6006332454581986,0.1492551034766426,0.0105323601856,0.00626012589517,7.50218870662e-09,,,,,,,2.7758425463726444,0.3018432404092031,2.4740042147019623,18.08379271222625,8.050331174823844,10.033952411254525,16.428566082866126,7.5830192676023636,8.845546815263761
3,5.55241153994,,0.0963094497866121,0.6572580968446644,0.19470413169704442,0.0176473042317,0.0113975606327,1.2963782085e-08,,,,,,,6.167409763913168,0.9634479270396499,5.204032522708224,25.619373930759405,12.042745658822094,13.577335130284368,23.93422363137384,11.591770033399278,12.34245359797456
4,7.33654871992,,0.620351451748455,0.19545732853574257,0.26536404826342264,0.138954309939,0.0238459601889,3.07289649423e-08,,,,,,,22.983891853662925,6.1096437289952865,16.875379098022933,43.87296972591218,20.16022837661642,23.712741349295758,44.41709357351393,22.99897149840016,21.41812207511377
5,9.1206858999,,2.2556635252774715,0.5816069749498954,0.29827458750426594,0.0555519332334,0.0306090517227,6.0017509653e-08,,,,,,,58.31581363226054,22.163936171075992,36.15187746118455,69.62554718518379,32.590096790177114,37.03741389041517,71.82073505187967,38.87720908817369,32.943525963705966
7,10.9048230799,,4.359619541313092,1.244070690821558,0.8346583362057363,0.050486511903,0.0597900402929,1.0371025668e-07,,,,,,,104.5867610306578,47.32840748559559,57.26118097845044,100.01762867527681,47.85431009580652,52.163318579470285,104.56979643032841,58.168787096072535,46.398181900867655
