,Dmax,X,Ku,Ka,W,ldr,xpolKa,mkg,CextC,CscaC,CabsC,CextX,CscaX,CabsX,CextKu,CscaKu,CabsKu,CextKa,CscaKa,CabsKa,CextW,CscaW,CabsW
10,0.418882370582,,1.0084512418023236e-10,3.710927782236604e-09,1.208727773468673e-07,0.00191566235845,8.91635280517e-11,4.80140077224e-13,,,,,,,,,,,,,,,
1,0.637764741164,,6.451574673412e-09,2.3675042237452684e-07,7.522229449755401e-06,0.00190041809198,5.6432612691e-09,3.84112061779e-12,,,,,,,,,,,,,,,
6,1.29441185291,,1.570914136519406e-06,5.646227396664256e-05,0.0014633538580421256,0.00194447100826,1.37695574966e-06,6.0017509653e-11,,,,,,,,,,,,,,,
8,1.84161777937,,1.7821666075192347e-05,0.0006193404479626215,0.01073099328126976,0.00231108010291,1.79455708357e-05,2.02559095079e-10,,,,,,,,,,,,,,,
9,2.38882370582,,9.954921721062657e-05,0.003284535119328129,0.02686375878084632,0.00287947346771,0.000118508486651,4.80140077224e-10,,,,,,,,,,,,,,,
11,3.48323555873,,0.001114379855595146,0.030645843636686734,0.03639436914413351,0.00444496776662,0.00170426490327,1.62047276063e-09,,,,,,,,,,,,,,,
0,4.57764741164,,0.006099402136944584,0.11843490144768162,0.0835946389193708,0.00797260420568,0.0117718430073,3.84112061779e-09,,,,,,,,,,,,,,,
2,5.67205926455,,0.022429498925074755,0.24052818754046856,0.1730575765661065,0.0151630022745,0.0451460901528,7.50218870662e-09,,,,,,,,,,,,,,,
3,6.76647111746,,0.06373034857072254,0.2972904836055289,0.10532189371159781,0.027950310559,0.101578702844,1.2963782085e-08,,,,,,,,,,,,,,,
4,8.95529482328,,0.3075242216745977,0.3419812098991705,0.5221578317678524,0.0765663876951,0.305639030334,3.07289649423e-08,,,,,,,,,,,,,,,
5,11.1441185291,,0.9120632521993718,0.6132192510266427,0.9634479270396499,0.117468942829,0.810033722566,6.0017509653e-08,,,,,,,,,,,,,,,
7,13.3329422349,,1.8529301966431815,1.2064941010919705,0.9642678827222368,0.0990386582123,1.36623355325,1.0371025668e-07,,,,,,,,,,,,,,,
