,Dmax,X,Ku,Ka,W,ldr,xpolKa,mkg
10,0.247469203025,,2.2498515788683303e-11,1.1183284448616268e-09,5.356179854921579e-08,0.00135104706147,1.89613578642e-11,4.80140077224e-13
1,0.49493840605,,1.4383467805195511e-09,7.102512671235805e-08,3.2474643260157694e-06,0.00139293402558,1.2415174792e-09,3.84112061779e-12
6,1.23734601512,,3.484811650994478e-07,1.6425424490212535e-05,0.0005326766693702343,0.00153887437637,3.17151283323e-07,6.0017509653e-11
8,1.85601902269,,3.924654257451134e-06,0.00017239391511803564,0.0031304989045318043,0.0016803916043,3.6342602573e-06,2.02559095079e-10
9,2.47469203025,,2.170212205099829e-05,0.0008615817852470008,0.0062678700429933355,0.00192179144385,2.07672014703e-05,4.80140077224e-10
11,3.71203804537,,0.00023610835937594937,0.006898407323522892,0.021124461701819468,0.00292489292803,0.000252818104856,1.62047276063e-09
0,4.9493840605,,0.0012430339652458734,0.022577683923553766,0.04741291632797716,0.0051581430685,0.00145596140743,3.84112061779e-09
2,6.18673007562,,0.0043552291655797005,0.040330686564311095,0.19586848447428115,0.00994107327606,0.00498864296188,7.50218870662e-09
3,7.42407609075,,0.011694264493722647,0.049936007927891456,0.24222621836973382,0.0205400245966,0.0126296187202,1.2963782085e-08
4,9.89876812099,,0.04955296924360253,0.15572246465313888,1.2978547570510153,0.0209691380925,0.0401913067585,3.07289649423e-08
5,12.3734601512,,0.12813967385370217,0.30577513996471156,1.9441157088117889,0.0416743161373,0.15372243697,6.0017509653e-08
7,14.8481521815,,0.2294207725544365,0.7419185210717655,1.9843775748620318,0.088740395134,0.759921562497,1.0371025668e-07
